 INDUSTRY COMPARATIVE ANALYSIS,PUBLIC OR PRIVATE/ % MARKET SHARE,NA,private,PRI  11.6%,Priv.  6.7%,  Pub.  5.5%,Pub- 3.5%,Pub. 3.3%,Pri.  2%,,,,,,,
 6 OF THE TOP 10 REVENUE PRODUCERS OR GROWTH COMPANIES ARE LISTED. NO MATTER THE COMPETITOR THE REUSLTS ARE THE SAME: OUR DISRUPTIVE TECHNOLOGY & SPECIALIZED SERVICES PREVAIL!,2015 REVENUE Disclosed or Est.,NA,$185M+,$2B,$125M,$429M,$4.6B,$924M,$888M,,,,,,,
,REVENUE GROWTH/YR,NA,127%,?,70%,$351M,??,22,?,,,,,,,
,Margin public disclosures or est.,NA,25%,?,?,1.2%,13.0%,2.5%,?,,,,,,,
"Pioneers are inefficent & Costly, new firms lack key services",2015 GAIN OR LOSS,NA,Est 25%+,?,?,$27M,?,""-$4M"""-$4M"""",?,,,,,,,
SERVICE COMPONENT FEATURES,DISTINCT ADVANTAGES,Synergy+,Kareo,Epic,Pr. Fusion,NextGen,Cerner,Athena,Greenway,,,,,,,
    All-inclusive services even solo DRs benefit!,Designed by top-producing Clinicians,✔,✔,X,X,X,X,X,X,,,,,,,
    Bundled Services VS. many costly add-ons,Saves clinet 25-40% of service costs,✔,PARTIAL,X,X,X,X,X,X, ,,,,,,
    Net Income Gains range from 25-100%,Disruptive Tech & Unmatched Services,✔,X,X,X,X,X,X,X,,,,,,,
"    Saves doctors, staff & patients 25-40% of time",Doctor Sees >25-40% patients,✔,?,see 30%<,X,X,see 30%<,X,see 30%<,,,,,,,
    DRs. & Staff go home minutes after the last pateint,System saves 1.5-2 hours of documenting,✔,?,X,X,X,X,X,X,,,,,,,
    Resource Re allocation: staff & office space,Retain valuable staff and optimize space,✔,X,X,X,X,X,X,X,,,,,,,
    HR: Retention Plan & Physician Recruiting,Cuts turnover costs & >Revenue 10-20%,✔,X,X,X,X,X,X,X,,,,,,,
    Exponential Growth Plan: gain market share,Clients & Synergy Revenue Grows,✔,X,X,X,X,X,X,X,,,,,,,
 EHR/RCM SYSTEM,DISTINCT ADVANTAGES,Synergy+,Kareo,Epic,Pr. Fusion,NextGen,Cerner,Athena,Greenway,,,,,,,
    Built-in Modular + interoperability Communications,Connect to outside systems,✔,X,X,X,X,X,X,X,,,,,,,
    EHR+RCM full services; % of collections,Built-in costs 20-40% Less,3.5-6%,4-9%,4-9%,4-11%,4-9%,4-9%,4-9%,4-9%,,,,,,,
    Speed & Efficiency reduces appointment times,7-10 minutes less per patient,✔,X,X,X,X,X,X,X,,,,,,,
    Eliminates Human Coding Errors,Accounts Receivables Optimized,✔,X,X,X,X,-30%,X,-30%,,,,,,,
    System cuts overall overhead 25-35%,RCM & Admin expenses cut 25-35%,✔,X,X,X,X,X,X,X,,,,,,,
      Modular + full integration & interoperability,"Connect equip, services & data sources",✔,PARTIAL,X,X,X,X,X,X,,,,,,,
"Seamless adaptats to RCM mandates (ICD-10, VBC, etc.)",Timely transition with no headaches,✔,X,X,X,X,X,X,X,,,,,,,
"      Built-in coding & billing, eligibility & pre-auth.verified, + auto: lab, radiology, pathology, next visit & Dx ordering",Enables reduced overhead by 25-50%,✔,X,X,X,X,X,X,X,,,,,,,
Same day implementation & orientation,minimizes expense and lost revenue,✔,✔,X,X,X,X,X,X,,,,,,,
"    Labs, Imaging, Charts, work flow, e- prescribe.",All but E-Proscribe is included,✔,PARTIAL,X,X,X,X,X,X,,,,,,,
    Built in Clearinghouse - all advanced features,eliminates human error ,✔,X,X,X,X,X,X,X,,,,,,,
    Same Day Payment of of Services,NO more Aging Account Receivables,✔,X,X,X,X,X,X,X,,,,,,,
    Reimbursements Optimized + VBC!,VBC ready 2018- ahead of regulations,✔,X,X,X,X,X,X,X,,,,,,,
DATA SECURITY  & REGULATIONS,DISTINCT ADVANTAGES,Synergy+,Kareo,Epic,Practice ,NextGen,Cerner,Athena,Greenway,,,,,,,
Supports Data Security & Analysis,Reduces risk management headaches,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,
Cloud Based Secure Service,Risk analysis and mgt plan approved by HHS,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,
Strong Certified HIPAA Consultant Network,Our Network is Available to Protect YOU,✔,?,?,?,?,?,?,?,,,,,,,
Exemplary Reputation for System Stability,Minimizes slow-downs and down time,✔,?,?,?,?,?,?,?,,,,,,,
PATIENT ENGAGEMENT - RELATIONSHIP BUILDING,DISTINCT ADVANTAGES,Synergy+,Kareo,Epic,Practice ,NextGen,Cerner,Athena,Greenway,,,,,,,
    Superior Tools and Strategies,Adds value to Website and Portal,✔,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,,,,,,,
Patient compliance through solid relationships,"Healthier patients, refer more patients!",✔,X,X,X,X,X,✔,✔,,,,,,,
    Guardian plan-all patients covered,Covers 23% non internet users,✔,X,X,X,X,X,?,?,,,,,,,
Superior Patient Education Resources,Free 'A Wellness Update' subscription,✔,PARTIAL,PARTIAL?,PARTIAL?,PARTIAL?,PARTIAL?,X,X,,,,,,,
"Built-in Patient Communications: phone, text, e-mail",For  individual & public health initiatives,✔,✔,?,?,?,?,?,?,,,,,,,
Full offline engagement services,No Patients 'Fall Through the Cracks',✔,X,X,X,X,X,X,X,,,,,,,
